151,150,file_name,1028,60,63,64,65,112,142,52,100,9818,48,49,44,40,41,1,541,6,9,8,75,200,115,9509,205,207,9524,9525,9506,20,9843,76,108,127,128,129,442,167,58,11,10,39,38,15,14,17,98,55,32,57,56,37,50,35,34,9515,59,116,9513,54,111,31,110
,,DR/input_log_file.txt,,,,,,,,20190502-04:14:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,808,,234,,,,,,,,,,BLPTB,,,0,807,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:14:50.456,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,SEBWHITE,,,0,808,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:14:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,809,,239,,,,,,,,,,BLPTB,,,0,808,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:15:20.458,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,SEBWHITE,,,0,809,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:15:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,810,,230,,,,,,,,,,BLPTB,,,0,809,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:15:50.459,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,SEBWHITE,,,0,810,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:15:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,811,,226,,,,,,,,,,BLPTB,,,0,810,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:16:20.461,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,SEBWHITE,,,0,811,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:16:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,812,,226,,,,,,,,,,BLPTB,,,0,811,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:16:50.463,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,SEBWHITE,,,0,812,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:16:51,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,813,,231,,,,,,,,,,BLPTB,,,0,812,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:17:20.465,,,,BLPTB,,,,,,,58,FIX.4.2,,,,,,,,,,,,,,,,,,,,,113,,,,,,,,,,SEBWHITE,,,0,813,,,,,,,,
,,DR/input_log_file.txt,,,,,,,,20190502-04:17:21,,,,SEBWHITE,,,,,,,61,FIX.4.2,,,,,,,,,,,,,,,,,,,814,,231,,,,,,,,,,BLPTB,,,0,813,,,,,,,,
